Unnamed: 0,ID,GENDER,CAR,REALITY,NO_OF_CHILD,FAMILY_TYPE,HOUSE_TYPE,FLAG_MOBIL,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME,INCOME_TYPE,User,EDUCATION_TYPE
0,5008806,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,29,59,3.0,0,112500.0,Working,5008806,Secondary / secondary special
1,5008808,F,N,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,4,52,8.0,0,270000.0,Commercial associate,5008808,Secondary / secondary special
2,5008809,F,N,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,26,52,8.0,0,270000.0,Commercial associate,5008809,Secondary / secondary special
3,5008810,F,N,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,26,52,8.0,0,270000.0,Commercial associate,5008810,Secondary / secondary special
4,5008811,F,N,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,38,52,8.0,0,270000.0,Commercial associate,5008811,Secondary / secondary special
5,5008815,M,Y,Y,0,Married,House / apartment,1,1,1,1,2.0,5,46,2.0,0,270000.0,Working,5008815,Higher education
6,5112956,M,Y,Y,0,Married,House / apartment,1,1,1,1,2.0,42,46,2.0,0,270000.0,Working,5112956,Higher education
7,5008819,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,17,49,3.0,0,135000.0,Commercial associate,5008819,Secondary / secondary special
8,5008820,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,16,49,3.0,0,135000.0,Commercial associate,5008820,Secondary / secondary special
9,5008821,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,8,49,3.0,0,135000.0,Commercial associate,5008821,Secondary / secondary special
10,5008822,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,22,49,3.0,0,135000.0,Commercial associate,5008822,Secondary / secondary special
11,5008823,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,7,49,3.0,0,135000.0,Commercial associate,5008823,Secondary / secondary special
12,5008824,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,3,49,3.0,0,135000.0,Commercial associate,5008824,Secondary / secondary special
13,5008825,F,Y,N,0,Married,House / apartment,1,0,0,0,2.0,25,29,3.0,0,130500.0,Working,5008825,Incomplete higher
14,5008826,F,Y,N,0,Married,House / apartment,1,0,0,0,2.0,30,29,3.0,0,130500.0,Working,5008826,Incomplete higher
15,5008830,F,N,Y,0,Married,House / apartment,1,0,1,0,,31,27,4.0,0,157500.0,Working,5008830,Secondary / secondary special
16,5008831,F,N,Y,0,Married,House / apartment,1,0,1,0,2.0,19,27,4.0,0,157500.0,Working,5008831,Secondary / secondary special
17,5008832,F,N,Y,0,Married,House / apartment,1,0,1,0,2.0,34,27,4.0,0,157500.0,Working,5008832,Secondary / secondary special
18,5008836,M,Y,Y,3,Married,House / apartment,1,0,0,0,5.0,24,35,3.0,0,270000.0,Working,5008836,Secondary / secondary special
19,5008837,M,Y,Y,3,Married,House / apartment,1,0,0,0,5.0,18,35,3.0,0,270000.0,Working,5008837,Secondary / secondary special
20,5008838,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,39,32,6.0,0,405000.0,Commercial associate,5008838,Higher education
21,5008839,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,13,32,6.0,0,405000.0,Commercial associate,5008839,Higher education
22,5008840,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,55,32,6.0,0,405000.0,Commercial associate,5008840,Higher education
23,5008841,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,4,32,6.0,0,405000.0,Commercial associate,5008841,Higher education
24,5008842,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,8,32,6.0,0,405000.0,Commercial associate,5008842,Higher education
25,5008843,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,29,32,6.0,0,405000.0,Commercial associate,5008843,Higher education
26,5008844,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,43,56,12.0,0,112500.0,Commercial associate,5008844,Secondary / secondary special
27,5008846,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,11,56,12.0,0,112500.0,Commercial associate,5008846,Secondary / secondary special
28,5008847,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,46,56,12.0,0,112500.0,Commercial associate,5008847,Secondary / secondary special
29,5008849,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,51,56,12.0,0,112500.0,Commercial associate,5008849,Secondary / secondary special
30,5008850,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,25,56,12.0,0,112500.0,Commercial associate,5008850,Secondary / secondary special
31,5008851,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,11,56,12.0,0,112500.0,Commercial associate,5008851,Secondary / secondary special
32,5008852,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,0,56,12.0,0,112500.0,Commercial associate,5008852,Secondary / secondary special
33,5008853,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,39,56,12.0,0,112500.0,Commercial associate,5008853,Secondary / secondary special
34,5008854,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,39,43,9.0,0,135000.0,Working,5008854,Secondary / secondary special
35,5008855,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,28,43,9.0,0,135000.0,Working,5008855,Secondary / secondary special
36,5008856,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,3,43,9.0,0,135000.0,Working,5008856,Secondary / secondary special
37,5008857,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,27,43,9.0,0,135000.0,Working,5008857,Secondary / secondary special
38,5008858,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,10,43,9.0,0,135000.0,Working,5008858,Secondary / secondary special
39,5008859,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,4,43,9.0,0,135000.0,Working,5008859,Secondary / secondary special
